ko,en,cn,jp,vi,description
던전,Dungeon,,,,v4_common
일반 등급,Grade1,,,,v4_common
일반 등급,Grade 1,,,,v4_common
일반,Normal,,,,v4_common
고급 등급,Grade2,,,,v4_common
고급 등급,Grade 2,,,,v4_common
고급,Fine,,,,v4_common
희귀 등급,Grade3,,,,v4_common
희귀 등급,Grade 3,,,,v4_common
희귀,Rare,,,,v4_common
영웅 등급,Grade4,,,,v4_common
영웅 등급,Grade 4,,,,v4_common
영웅,Epic,,,,v4_common
전설 등급,Grade5,,,,v4_common
전설 등급,Grade 5,,,,v4_common
전설,Legendary,,,,v4_common
신화 등급,Grade6,,,,v4_common
신화 등급,Grade 6,,,,v4_common
신화,Mythic,,,,v4_common
등급,Grade,,,,v4_common
띠지,Flag,,,,v4_common
월드보스,WorldBoss,,,,v4_common
월드보스,World Boss,,,,v4_common
마석,devilstone,,,,v4_common
마석,devil stone,,,,v4_common
영혼석,SoulStone,,,,v4_common
스트링,Strings,,,,v4_common
스트링,String,,,,v4_common
상세정보,Noted,,,,v4_common
상자,Chest,,,,v4_common
아이템,Item,,,,v4_common
안녕하세요,Hello,,,,v4_common
안녕하세요,Hi,,,,v4_common
수정,Modified,,,,v4_common
수정,Modify,,,,v4_common
도감,Guide,,,,v4_common
분해,Retire,,,,v4_common
입수 장소,Acquireable Content,,,,v4_common
입수장소,Acquireable Content,,,,v4_common
네임택,name tag,,,,v4_common
레벨업,Level-up,,,,v4_common
그레이드업,Upgrade,,,,v4_common
도움말,Helper,,,,v4_common
(값),(Value),,,,v4_common
한계돌파,Limit breaking,,,,v4_common
쿨타임,Cooltime,,,,v4_common
에센스,Essence,,,,v4_common
햄버거 메뉴,Hamburger Menu,,,,v4_common
제작,Crafting,,,,v4_common
포트레이트,portrait,,,,v4_common
등급,Rarity,,,,v4_common
표정,Facial Expression,,,,v4_common
전투,battle,,,,v4_common
컨텐츠,contents,,,,v4_common
보상,reward,,,,v4_common
장신구,accessory,,,,v4_common
코스튬,Outfit,,,,v4_common
코스튬,Costume,,,,v4_common
연출,animation,,,,v4_common
한글,Korean language,,,,v4_common
한국어,Korean language,,,,v4_common
선택권,Select Ticket,,,,v4_common
통빌드,Full Build,,,,v4_common
에코머신,Cube,,,,v4_common
검수,Inspection,,,,v4_common
iOS 검수,iOS inspection,,,,v4_common
iOS 검수,iOS review,,,,v4_common
바로가기,Shortcut,,,,v4_common
분해,Recycle,,,,v4_common
분해,Recycling,,,,v4_common
플로터,plotter,,,,v4_common
딤드,Grey out,,,,v4_common
딤드,Dimmed,,,,v4_common
버프창,Buff window,,,,v4_common
에픽,Epic,,,,v4_common
파견,Dispatch,,,,v4_common
치트,Cheat,,,,v4_common
보스,Boss,,,,v4_common
레이드,Raid,,,,v4_common
리더,Leader,,,,v4_common
한계돌파,Limit break,,,,v4_common
아군,Allies,,,,v4_common
서브리더,SubLeader,,,,v4_common
약초 수집,Herb Gathering,,,,v4_common
채광,Stone Gathering,,,,v4_common
벌목,Wood Gathering,,,,v4_common
발굴,Relic Gathering,,,,v4_common
대장기술,Blacksmith,,,,v4_common
세공술,Jewelry,,,,v4_common
연금술,Alchemy,,,,v4_common
야수형,Organism type,,,,v4_common
인간형,Human type,,,,v4_common
정령형,Halfman type,,,,v4_common
악마형,Devil type,,,,v4_common
마법형,Magician Type,,,,v4_common
저항,Resist,,,,v4_common
내성,Tolerance,,,,v4_common
평화 지역,Peace zone,,,,v4_common
무법 지역,Lawlessness zone,,,,v4_common
분쟁 지역,Dispute zone,,,,v4_common
채널,Channel,,,,v4_common
데빌 체이서 ,Devil Chaser,,,,v4_common
장비,Equipment,,,,v4_common
강화,Enhancement,,,,v4_common
마력부여,Enchant,,,,v4_common
이벤트,Event,,,,v4_common
동료 파견,Fellow mission,,,,v4_common
동료,Fellow,,,,v4_common
소환수,Pet,,,,v4_common
탈것,Mount,,,,v4_common
합성,Merging,,,,v4_common
필드 보스, Field Boss,,,,v4_common
몽환의 틈,Field Dungeon,,,,v4_common
악마 토벌,Solo Dungeon,,,,v4_common
메인 퀘스트,Main Quest,,,,v4_common
서브 퀘스트,Sub Quest,,,,v4_common
지역 토벌,Local Quest,,,,v4_common
지역,Zone,,,,v4_common
